obsid mjd_start mjd_end mjd ra_xrt dec_xrt exptime cr cr_unc fl fl_unc fl0 fl0_unc L L_unc L0 L0_unc L_0.5keV L_0.5keV_unc L0_0.5keV L0_0.5keV_unc L_2keV L_2keV_unc L0_2keV L0_2keV_unc L_0.5-10keV L_0.5-10keV_unc L0_0.5-10keV L0_0.5-10keV_unc HR HR_unc L_2500 L_2500_unc alpha_OX_obs alpha_OX alpha_OX_unc alpha_OSX_obs alpha_OSX alpha_OSX_unc L1 L2 L3 eL1 eL2 eL3 Lbol eLbol
14217012 59441.89232638889 59442.90408564815 59442.39820601852 46.947762499999996 40.31057805555555 1653.208689567347 0.211 0.013 5.3904218190623245e-12 4.542173834322144e-13 1.4331633108417193e-11 1.2076377525401386e-12 3.939863601388526e+42 3.319878473654988e+41 1.047500205505805e+43 8.82663395296806e+41 4.428723059912983e+42 4.4686938502667524e+41 9.433180117614653e+42 9.518317901068183e+41 3.966550778741945e+41 7.632343071001332e+40 4.085547302104204e+41 7.861313363131372e+40 2.7263338038044827e+42 2.7237688797265276e+41 3.963177361758362e+42 3.959448820144641e+41 -0.7188395157021246 0.10477012236081121 3.05606124366564e+42 2.420482796438513e+41 -1.3403237169394675 -1.3484559175227442 0.034682290578135905 -0.9195842851205657 -1.0834836091507245 0.027805209322748776 1.4934135096295215e+42 1.1701081798194681e+43 3.963177361758362e+42 5.985339504585241e+40 3.510324539458404e+42 3.959448820144641e+41 1.7157672669582565e+43 3.5330911608414265e+42
14217013 59448.06391203704 59448.54644675926 59448.30517939815 46.94764166666666 40.311814999999996 2065.25702416875 0.251 0.012 6.455671523040846e-12 4.940154492118598e-13 1.7163835937569047e-11 1.3134497457985343e-12 4.718455458569928e+42 3.610762853456951e+41 1.2545061358926415e+43 9.600014654557827e+41 5.303922828489872e+42 5.0140719313102776e+41 1.1297355624683426e+43 1.067997321369089e+42 4.7504165289005564e+41 8.985713901011218e+40 4.892929024767573e+41 9.255285318041556e+40 3.265109130659063e+42 3.051919662985084e+41 4.746376460667074e+42 4.436470288916647e+41 -0.5732940610226105 0.07835232346804798 2.2226456159347448e+42 2.0171362512534858e+41 -1.2571911860702563 -1.265323386653533 0.03496897968270394 -0.8114706427032238 -0.9753699667333826 0.02840601794410648 1.4942873448301878e+42 1.0859059567014577e+43 4.746376460667074e+42 5.618692194432749e+40 3.257717870104373e+42 4.436470288916647e+41 1.709972337251184e+43 3.288267838488731e+42
14217014 59456.88775462963 59456.906180555554 59456.89696759259 46.947716666666665 40.31102055555555 1583.275074955103 0.296 0.015 7.47803688990207e-12 5.873055322061915e-13 1.9882021235942633e-11 1.5614821423357546e-12 5.465703119592018e+42 4.292620813181184e+41 1.4531785158726263e+43 1.1412885416594311e+42 6.143889203637544e+42 5.9087023089786306e+41 1.3086484003747967e+43 1.2585535918124483e+42 5.5027257689198486e+41 1.0454061075523346e+41 5.6678075419874445e+41 1.0767682907789047e+41 3.782194685940817e+42 3.597845091409655e+41 5.4980458871786733e+42 5.230063243719645e+41 -0.6273814810249013 0.08603943534979497 2.515612852863604e+42 2.2595159852351462e+41 -1.253325443335191 -1.2614576439184677 0.03502592754336875 -0.8064432542264577 -0.9703425782566164 0.028524436075201935 1.553526297463437e+42 1.243675783788014e+43 5.4980458871786733e+42 7.050174378285948e+40 3.731027351364042e+42 5.230063243719645e+41 1.9488330022522251e+43 3.7681654963438207e+42
14217015 59462.47488425926 59462.75407407407 59462.61447916667 46.947712499999994 40.31137194444444 1830.514488907907 0.327 0.015 9.406889900480392e-12 7.268785333968664e-13 2.0069284161118093e-11 1.5507709765597981e-12 6.875503321485707e+42 5.312760990677262e+41 1.4668655779904601e+43 1.1334597420616158e+42 5.460438210846313e+42 5.5201837515187436e+41 1.1630733389102646e+43 1.1757991390734924e+42 1.2667135909289937e+42 1.536808727349563e+41 1.3047149986568635e+42 1.5829129891700499e+41 5.516368660779557e+42 4.463824201999891e+41 7.572585727443011e+42 6.127707105982682e+41 -0.40417554434506997 0.06510377469069499 2.6773063385708465e+42 2.215561802796651e+41 -1.1247386647549718 -1.1328708653382484 0.02447785987481652 -0.8455090877786642 -1.009408411808823 0.028319041199827304 1.5789527729794165e+42 1.2087090403756063e+43 7.572585727443011e+42 6.727481646791121e+40 3.626127121126819e+42 6.127707105982682e+41 2.1238628904178491e+43 3.678153306112916e+42
14217016 59469.84856481481 59470.84574074074 59470.34715277777 46.94996249999999 40.31144444444444 641.816641753418 0.255 0.022 7.609285913416134e-12 8.129998318589656e-13 1.6234156333831726e-11 1.734507878920276e-12 5.561633135427179e+42 5.9422222471511855e+41 1.186555779600207e+43 1.2677531903557695e+42 4.416979043918667e+42 5.528232243153984e+41 9.40816536354676e+42 1.1775134677917985e+42 1.0246517165356134e+42 1.4549988187079413e+41 1.0553912680316819e+42 1.4986487832691796e+41 4.4622214980464997e+42 4.886621300393952e+41 6.125506996847654e+42 6.708101106054957e+41 -0.447478992949554 0.12584618263159 2.4620525850104753e+42 2.8367859365029636e+41 -1.146116204930905 -1.1542484055141817 0.030479371435190316 -0.87331052375298 -1.0372098477831388 0.03687548588116218 1.531402939545322e+42 1.0436847407220435e+43 6.125506996847654e+42 7.648517139460044e+40 3.13105422216613e+42 6.708101106054957e+41 1.8093757343613413e+43 3.203019938757511e+42
14217017 59472.043229166666 59472.44712962963 59472.245179398145 46.94837083333333 40.310939166666664 1503.382739583602 0.174 0.011 4.729359313384105e-12 4.5136618387190136e-13 1.0089929505339363e-11 9.629746176132094e-13 3.4566924894072804e+42 3.2990390333569255e+41 7.37473751276441e+42 7.038389150879645e+41 2.7452616731812335e+42 3.172871541832532e+41 5.847407363876027e+42 6.758216384103292e+41 6.368463734591306e+41 8.510184106699473e+40 6.559517646629045e+41 8.765489629900457e+40 2.7733809769141327e+42 2.729468296883498e+41 3.8071540344756477e+42 3.746872977406709e+41 -0.5170988741960016 0.11017016743194538 2.9085021224113546e+42 2.5112220057033698e+41 -1.2531599424336624 -1.261292143016939 0.026517749657359608 -1.0125206288512596 -1.1764199528814183 0.03127148256321665 1.531402939545322e+42 9.180633201251426e+42 3.8071540344756477e+42 6.770734550132802e+40 2.7541899603754277e+42 3.746872977406709e+41 1.4519190175272395e+43 2.780384360759469e+42
14217018 59476.745787037034 59477.290185185186 59477.01798611111 46.94803749999999 40.31061111111111 1580.787633895899 0.263 0.014 7.289684911742165e-12 6.118975742770559e-13 1.55522983139515e-11 1.3054629559380692e-12 5.328036508719843e+42 4.472364244569394e+41 1.1367187226125542e+43 9.541639143847501e+41 4.231459542762799e+42 4.4971472063614066e+41 9.013008826084761e+42 9.578923549549795e+41 9.816148641031998e+41 1.2336489892823496e+41 1.0110633100262958e+42 1.2706584589608202e+41 4.2748017484544484e+42 3.732358126540459e+41 5.868226853319112e+42 5.123588290916018e+41 -0.4072985253720087 0.08001047675265523 2.6735796993054566e+42 2.253733701614302e+41 -1.1670061576160102 -1.175138358199287 0.025222934660291074 -0.9004778534504941 -1.064377177480653 0.0294040484081481 1.4433951946204962e+42 1.0671157107037338e+43 5.868226853319112e+42 5.411365847124172e+40 3.2013471321112017e+42 5.123588290916018e+41 1.7982779154976947e+43 3.2425396401675457e+42
14217019 59481.18981481482 59482.20476851852 59481.69729166667 46.9493625 40.311771388888886 2045.308708477735 0.255 0.012 7.2326839084265e-12 5.756546332392581e-13 1.5430688584794096e-11 1.2281398565696934e-12 5.286374429991265e+42 4.20746429982457e+41 1.1278302578214015e+43 8.976483994633212e+41 4.198372044146966e+42 4.31921001849894e+41 8.942532454033037e+42 9.199917339402741e+41 9.739392192981239e+41 1.1961246454139945e+41 1.0031573958770676e+42 1.2320083847764144e+41 4.241375339550962e+42 3.526183205714074e+41 5.82234080716308e+42 4.840562017870312e+41 -0.3879705253368764 0.06969129685435778 2.340231097113246e+42 2.032363259722598e+41 -1.146118445791853 -1.1542506463751296 0.02507092460163416 -0.8733134379868748 -1.0372127620170335 0.02918334853674407 1.3719212103682552e+42 9.920371122985316e+42 5.82234080716308e+42 4.875345612391645e+40 2.976111336895595e+42 4.840562017870312e+41 1.7114633140516652e+43 3.01561370131703e+42
14217020 59487.42726851852 59487.507581018515 59487.46742476852 46.94873333333333 40.3111725 1867.973187049494 0.349 0.014 9.874440124114541e-12 7.542357058452704e-13 2.1066786884864105e-11 1.60913658660948e-12 7.217236152375309e+42 5.512714782021044e+41 1.5397731315269007e+43 1.1761192129390878e+42 5.731838124487404e+42 5.7557322418511205e+41 1.220881520515817e+43 1.2259709675142886e+42 1.3296729992972176e+42 1.6056962268589384e+41 1.3695631892761342e+42 1.6538671136647066e+41 5.790548483046231e+42 4.636600034973518e+41 7.948965613655342e+42 6.364884837798428e+41 -0.3189833207253139 0.05914618595205788 2.3064855131804635e+42 2.044388884081514e+41 -1.0918043678829354 -1.0999365684662121 0.024967702623916607 -0.8026781194674537 -0.9665774434976124 0.029033293906207028 1.353392557193632e+42 1.1504754314811425e+43 7.948965613655342e+42 5.149880901564122e+40 3.4514262944434275e+42 6.364884837798428e+41 2.08071124856604e+43 3.5100018779610195e+42
14217021 59492.52994212963 59492.54851851852 59492.53923032407 46.94938333333333 40.31186444444444 1595.761662415915 0.348 0.016 1.0481203790153874e-11 9.010137453646807e-13 1.704030345986953e-11 1.4648649095966456e-12 7.660720199211791e+42 6.5855166420548584e+41 1.2454771372573858e+43 1.0706709292882501e+42 3.369472934901329e+42 4.345728328086189e+41 7.176977351339831e+42 9.256401338823583e+41 1.9654777020705517e+42 2.4005869360157346e+41 2.0244420331326685e+42 2.4726045440962065e+41 6.83278236685275e+42 6.100376184246171e+41 8.621507879943862e+42 7.69736814657625e+41 -0.15208202235432977 0.0548629526286601 2.817747960123711e+42 2.332085771432227e+41 -1.0600375145798093 -1.068169715163086 0.024591218578172425 -0.9612387821386242 -1.125138106168783 0.03321789299737025 1.2803664201732233e+42 9.875775029285117e+42 8.621507879943862e+42 4.76417984400175e+40 2.962732508785535e+42 7.69736814657625e+41 1.9777649329402203e+43 3.0614618115228055e+42
