phase UVW2.uvot-lum UVW2.uvot-elum UVM2.uvot-lum UVM2.uvot-elum UVW1.uvot-lum UVW1.uvot-elum U.uvot-lum U.uvot-elum g.ztf-lum g.ztf-elum r.ztf-lum r.ztf-elum
55.0 9.473883555013688e+42 5.4541557377615993e+42 7.863827553698471e+42 4.451633052869521e+42 6.953763239515074e+42 3.9685672271179565e+42 3.508353681016092e+42 2.0877708686292506e+42 2.609919094330177e+42 2.296830495842566e+42 1.2033398900554823e+42 2.1965189508026246e+41
60.0 8.839424091138684e+42 4.090795715242729e+42 7.424337322140356e+42 3.376572508167541e+42 6.52646975786406e+42 3.0052281796291383e+42 3.335718458681797e+42 1.626718126861112e+42 2.3469811339921603e+42 2.0127658696623083e+42 1.1155513649953615e+42 5.748419698408195e+40
65.0 8.21109395747008e+42 2.654411662274887e+42 6.985969528528995e+42 2.2226312224428423e+42 5.996592583567409e+42 1.9469622148569342e+42 3.173154863827472e+42 1.1236499460312862e+42 2.1144848206645926e+42 1.7465850791349738e+42 1.0127782646155907e+42 4.0740166920847966e+40
70.0 7.559436193567065e+42 1.236397271233574e+42 6.519670846800738e+42 1.0617392444045506e+42 5.3129604857791e+42 9.025396249210516e+41 3.0140192143760664e+42 6.082979307901927e+41 1.9105611522655347e+42 1.4946797845377512e+42 8.432550045695683e+41 3.611221138743992e+40
276.0 2.7743498992760535e+42 7.167224688211231e+41 2.463658618262866e+42 6.422938905235595e+41 1.8324639807667094e+42 4.858742502127724e+41 1.1774528140699648e+42 8.741141360384852e+41 7.921715291038479e+41 4.9640686075177275e+41 4.070633031895934e+41 2.556425136371191e+41
286.0 2.6974843640463226e+42 1.0677300032579994e+42 2.3640786779026246e+42 9.265443134526233e+41 1.724928203828974e+42 6.898172407996769e+41 1.269022177178124e+42 8.091329412903404e+41 7.633491677698305e+41 3.0630296050041127e+41 3.602104239877902e+41 1.4930958085522897e+41
296.0 2.648260604592342e+42 8.241151893512105e+41 2.308276170331662e+42 7.195780289211278e+41 1.6535491461892132e+42 5.4198546148354945e+41 1.2972637711968599e+42 5.6541847994561214e+41 6.865895624212083e+41 7.874592163138191e+40 3.100758586315963e+41 4.2075439665590423e+40
217.8 3.3064791936185625e+42 1.6733064257912535e+41 2.803270589209657e+42 1.8146435271887744e+41 2.3324313087214094e+42 1.6978501973896455e+41 1.0660039436878401e+42 1.6442462676874895e+41 9.235116819080511e+41 1.719802931104847e+41 6.070992954984542e+41 1.1245930190297858e+41
224.5 3.3362376466242436e+42 1.6802905067895564e+41 2.8046681575125215e+42 1.7596197770936996e+41 2.1088683137945236e+42 1.6158560091982715e+41 9.603983542078728e+41 1.6798636427418845e+41 9.553604062412874e+41 3.5599980733778976e+41 6.223586106379058e+41 2.3503466558889457e+41
231.0 3.006878819750536e+42 1.5107853454481163e+41 2.555876514766876e+42 1.6497515739115927e+41 2.0138418883370538e+42 1.5231423684890368e+41 8.704208815618223e+41 2.000577941365642e+41 9.525347906592987e+41 5.1072012268112246e+41 6.137021048836888e+41 3.2845473352764575e+41
238.0 3.1073944527607306e+42 1.5352318330696133e+41 2.6699433416830215e+42 1.6507214703713663e+41 2.03994457447825e+42 1.5117533114237222e+41 8.461631283507971e+41 3.2570517987187507e+41 9.292918477302788e+41 6.172783191942605e+41 5.8962089912319985e+41 3.881827769408231e+41
242.9 3.264189779720182e+42 1.7894086555321588e+41 2.5183734164747872e+42 1.706090154555989e+41 2.0618477325860947e+42 1.4278926505452855e+41 8.590491307970838e+41 4.29260081176409e+41 9.074818250587794e+41 6.579055370031725e+41 5.679772222562483e+41 4.0740599652981525e+41
248.2 3.263862952730352e+42 1.7762199935037956e+41 2.4231386585474718e+42 1.6803781845926016e+41 2.1253772873883527e+42 1.4236215148408849e+41 8.903124115577117e+41 5.36538584796777e+41 8.827387307201337e+41 6.76986345955781e+41 5.4247323826999884e+41 4.114438565430513e+41
253.0 3.176136291278421e+42 1.7192944997106865e+41 2.6314033630181373e+42 1.683500983255164e+41 2.1545733821244236e+42 1.3868347647465516e+41 9.29445309780129e+41 6.258698228116595e+41 8.613022114283151e+41 6.767410694967469e+41 5.186140496277466e+41 4.031316943386079e+41
257.8 3.0384848663649685e+42 1.660856873676702e+41 2.8022909492883866e+42 1.7135283369126823e+41 2.1252011102292417e+42 1.3812843887094853e+41 9.75832436313729e+41 7.055862487748959e+41 8.420171212336249e+41 6.6283508899639256e+41 4.946590695124066e+41 3.8555840137541365e+41
262.4 2.958032387544554e+42 1.7306685733309802e+41 2.6878531018184535e+42 1.7926081107033487e+41 2.087223998840088e+42 1.3971002461748182e+41 1.0248649907784732e+42 7.711370137448458e+41 8.261144947616039e+41 6.3823892001460486e+41 4.719480909100571e+41 3.6149619412086794e+41
