mjd uJy duJy filter instrument A_mw uJy.0 duJy.0
59306.02253853875 676.9845040301863 33.62913550921429 UVW1.uvot UVOT 0.7638400000000001 1368.0901873717712 67.95973914625999
59306.02445180508 712.2343408771493 49.70285224181609 U.uvot UVOT 0.616 1256.0962228205206 87.65593201735301
59306.0289079417 720.699015466615 27.976038369066128 UVW2.uvot UVOT 0.96096 1746.376701432673 67.79071506638792
59306.03477371263 646.9294931098926 28.071490079566303 UVM2.uvot UVOT 1.05952 1716.5835675295689 74.4857965201277
59306.14351850003 410.0085676845503 12.79632844728445 r.ztf ZTF 0.32032 550.7074250270842 17.187526418781196
59307.14388310001 403.51058298070546 11.370492922559361 r.ztf ZTF 0.32032 541.9795868642657 15.272400072110262
59311.13682870008 405.1885475764977 24.149227501963942 r.ztf ZTF 0.32032 544.2333630891233 32.436295097696174
59312.138605300104 424.3833587559128 17.96627792529034 r.ztf ZTF 0.32032 570.0150805254029 24.13159976005646
59313.13740740018 428.16563908384154 17.10015923799075 r.ztf ZTF 0.32032 575.0952910973117 22.968263113838937
59314.13798609981 420.89549497011836 13.730992679682204 r.ztf ZTF 0.32032 565.3303187040405 18.442930752391856
59315.13935185014 351.51438975876863 20.516158188861347 r.ztf ZTF 0.32032 472.14033974274133 27.556498907917575
59382.47346059978 240.60584307172218 12.505387738041696 r.ztf ZTF 0.32032 323.17233035589504 16.79674627063097
59384.47278939979 246.41604690252728 19.503809568593816 r.ztf ZTF 0.32032 330.9763682290913 26.196751951785224
59385.47640050016 236.48633828373175 16.448316072083387 r.ztf ZTF 0.32032 317.63917311727266 22.092732942736436
59386.47674770001 227.87609981106402 12.867357687649582 r.ztf ZTF 0.32032 306.074238547905 17.28293010823094
59390.47717589978 198.85992392128716 15.289575480663574 r.ztf ZTF 0.32032 267.10084928769294 20.53635803335619
59391.477939799894 181.20723425707436 16.111234350442356 r.ztf ZTF 0.32032 243.39044897903332 21.639977996670407
59392.474745399784 158.99291933650207 19.150209800361488 r.ztf ZTF 0.32032 213.55305256135333 25.721810613478315
59393.476458299905 169.8453855466227 11.51518784870494 r.ztf ZTF 0.32032 228.12965947354635 15.466748621073812
59397.03028186632 231.44749625651934 10.219313756894788 UVM2.uvot UVOT 1.05952 614.1302461106285 27.116256490619726
59397.031134371784 257.51607583889364 13.688768565561157 UVW1.uvot UVOT 0.7638400000000001 520.4036641139517 27.663070336558736
59397.031627627664 254.5153772179449 23.883333159551718 U.uvot UVOT 0.616 448.8632260829778 42.120637616449265
59397.0329506853 261.597053167358 10.12952249090934 UVW2.uvot UVOT 0.96096 633.8943012418765 24.545561593849268
59399.46885994985 142.97555229260496 9.616603832021298 r.ztf ZTF 0.32032 192.03915344877475 12.916645044141106
59400.46783560002 142.619920782404 9.591338630449778 r.ztf ZTF 0.32032 191.56148315435314 12.882709816448628
59401.46840280015 135.16342714816446 8.862246826590948 r.ztf ZTF 0.32032 181.5462133949119 11.90342230502188
59404.7934006105 198.7980601311656 12.554360439973586 UVM2.uvot UVOT 1.05952 527.4971800055898 33.31214461796254
59404.797349858614 173.71642017626291 15.710549651593425 UVW1.uvot UVOT 0.7638400000000001 351.0563807792856 31.748804719470485
59404.79973100257 233.222332322658 32.88355040271237 U.uvot UVOT 0.616 411.31081990107623 57.99341745148982
59404.803768680205 224.0388813130014 11.273546572755167 UVW2.uvot UVOT 0.96096 542.884441553937 27.31772717134756
59411.09825648318 192.9233538381808 12.50862089387418 UVM2.uvot UVOT 1.05952 511.90904498623416 33.19077783215863
59411.102197941946 198.09101978783966 16.09980673489475 UVW1.uvot UVOT 0.7638400000000001 400.3140083190542 32.53543837631081
59411.10457404183 204.38650752980746 32.00328029165349 U.uvot UVOT 0.616 360.4559698532583 56.44097340589502
59411.10862257367 223.853561301221 11.337161901073879 UVW2.uvot UVOT 0.96096 542.4353795406179 27.47187796779045
59418.07815109169 147.63249306913957 15.785927351370223 UVW1.uvot UVOT 0.7638400000000001 298.3444434883475 31.901132417958976
59418.08028463321 209.3949724117469 34.17612509940292 U.uvot UVOT 0.616 369.2888966854377 60.27300171335908
